importer,exporter,value
"China, mainland",Brazil,54393540.0
"China, mainland",United States of America,29532989.56
Mexico,United States of America,3684635.19
"China, mainland",Argentina,3649549.04
Egypt,United States of America,2658508.82
Japan,United States of America,2576171.0
Thailand,Brazil,2565691.06
Spain,Brazil,2119842.67
Türkiye,Brazil,2015827.7
Indonesia,United States of America,1928076.8
Netherlands (Kingdom of the),Brazil,1800710.74
"China, mainland",Uruguay,1788148.0
"China, Taiwan Province of",United States of America,1770950.0
Netherlands (Kingdom of the),United States of America,1765343.12
Argentina,Paraguay,1739714.2
Germany,United States of America,1513131.66
Italy,Brazil,1165614.66
Pakistan,Brazil,1064264.6
Germany,Netherlands (Kingdom of the),956839.86
Spain,United States of America,906539.37
"China, Taiwan Province of",Brazil,892037.0
Argentina,Uruguay,774817.37
"China, mainland",Canada,719094.35
Türkiye,Ukraine,699864.89
"China, mainland",Russian Federation,693752.8
Portugal,Brazil,640123.4
Republic of Korea,United States of America,635477.08
United Kingdom of Great Britain and Northern Ireland,Brazil,607563.2
Japan,Brazil,596582.0
Pakistan,United States of America,556263.17
Germany,Brazil,548861.02
Republic of Korea,Brazil,538722.45
Argentina,Bolivia (Plurinational State of),495127.51
Colombia,United States of America,477483.14
Malaysia,United States of America,443836.45
Canada,United States of America,432302.49
Thailand,United States of America,431509.27
Italy,Canada,394687.54
Brazil,Paraguay,385310.34
Tunisia,United States of America,347783.6
Italy,United States of America,329706.34
Japan,Canada,308786.0
Argentina,Brazil,299802.08
France,Brazil,296833.7
Belgium,Brazil,291493.39
Indonesia,Canada,287991.78
Portugal,United States of America,272719.95
Egypt,Uruguay,256556.16
Costa Rica,United States of America,254080.69
United Kingdom of Great Britain and Northern Ireland,United States of America,251184.7
Norway,Brazil,243971.2
Türkiye,United States of America,229817.04
"China, mainland",Benin,209410.62
Israel,Brazil,198941.24
Peru,United States of America,172131.2
India,Benin,165938.77
India,Togo,161905.64
Romania,Ukraine,149815.03
Tunisia,Brazil,149697.1
Belgium,Canada,144768.72
Greece,Brazil,140624.47
Mexico,Brazil,139983.5
United States of America,Canada,132131.4
Egypt,Brazil,131489.4
Malaysia,South Africa,127389.62
United States of America,Argentina,126387.04
Poland,Ukraine,123191.48
Germany,Ukraine,122182.2
Romania,Brazil,118722.86
Netherlands (Kingdom of the),Uruguay,117048.28
Peru,Bolivia (Plurinational State of),112426.54
Nepal,United States of America,111820.03
Spain,Canada,111607.89
Philippines,United States of America,99858.54
Italy,Ukraine,98141.12
Portugal,Canada,96462.66
Netherlands (Kingdom of the),Ukraine,92265.24
Netherlands (Kingdom of the),Canada,91224.43
Malaysia,Brazil,87040.54
Germany,Austria,84218.83
Republic of Korea,"China, mainland",79256.19
United Arab Emirates,Brazil,79123.6
Hungary,Ukraine,75951.03
Serbia,Croatia,74912.04
Belgium,Netherlands (Kingdom of the),70872.09
Israel,Canada,67206.75
"China, mainland",Ukraine,67127.67
Indonesia,Argentina,60823.0
Norway,Canada,60610.4
Morocco,United States of America,58295.98
Chile,Argentina,57504.5
Egypt,Ukraine,57077.28
Lebanon,Brazil,56980.4
Malaysia,Canada,55892.47
United States of America,Ukraine,55378.32
United States of America,Türkiye,54254.83
Canada,Togo,52719.71
"China, Taiwan Province of",Canada,52147.0
Egypt,Canada,51993.22
Portugal,Germany,51942.25
Belgium,France,48815.94
United Arab Emirates,Argentina,48313.1
Netherlands (Kingdom of the),Belgium,47923.31
Austria,Hungary,46118.18
France,Togo,44195.37
India,Burkina Faso,43122.5
Lebanon,United States of America,42132.2
Indonesia,Brazil,41735.0
Romania,United States of America,40575.47
Türkiye,Argentina,39387.0
Germany,Poland,38452.53
Panama,United States of America,38159.47
Greece,Ukraine,36098.84
United States of America,Togo,36059.27
Egypt,Argentina,35280.24
Republic of Korea,Canada,35115.6
Kazakhstan,Russian Federation,34482.51
Dominican Republic,United States of America,34457.73
Italy,Romania,34180.38
Canada,India,34100.39
France,United States of America,33253.26
Brazil,Uruguay,33005.84
Netherlands (Kingdom of the),Argentina,32246.97
Germany,Hungary,32040.27
Italy,Slovenia,31180.6
India,Mozambique,31101.13
Germany,Romania,30362.33
Mozambique,Brazil,30064.3
Greece,United States of America,30057.52
Hungary,Slovakia,29671.51
Paraguay,Bolivia (Plurinational State of),29309.0
Slovenia,Ukraine,28052.17
United States of America,Russian Federation,27875.18
Spain,Germany,27618.21
Republic of Moldova,Ukraine,27467.31
Spain,Ukraine,26673.28
Azerbaijan,Ukraine,26283.2
Greece,Canada,25910.18
Zimbabwe,South Africa,25895.16
France,Ukraine,25505.95
Uzbekistan,Kazakhstan,25187.02
Slovakia,Ukraine,25032.92
Togo,Burkina Faso,24638.85
Netherlands (Kingdom of the),Germany,24129.44
Germany,Czechia,23134.65
Germany,Slovakia,22592.52
Spain,France,22482.46
Thailand,Canada,21744.48
India,United Republic of Tanzania,21243.47
Italy,Croatia,21049.63
Philippines,Argentina,20950.4
Italy,Togo,20625.75
"China, Taiwan Province of",Argentina,20586.0
Barbados,United States of America,20544.93
United Kingdom of Great Britain and Northern Ireland,Canada,20132.04
Nepal,Canada,20089.58
Philippines,Brazil,19642.72
Italy,France,19546.15
Hungary,Romania,19466.4
Japan,"China, mainland",19280.0
Italy,Poland,19184.54
Austria,Croatia,18268.02
Hungary,Italy,18232.69
India,United Arab Emirates,18029.62
"China, Hong Kong SAR",Canada,18029.3
Belgium,Togo,18000.26
"China, mainland",United Republic of Tanzania,17910.43
France,Belgium,17257.67
Germany,Togo,16935.26
Italy,Austria,16352.76
France,Canada,15812.21
Germany,Italy,14887.42
Singapore,Canada,14853.05
Serbia,Hungary,14801.8
Austria,Romania,14537.01
United States of America,Ghana,14352.12
Türkiye,Uruguay,14193.6
Austria,Ukraine,14078.65
Netherlands (Kingdom of the),Togo,14055.51
Spain,Portugal,13863.11
Brunei Darussalam,Argentina,13660.0
Austria,Slovakia,13455.75
India,Ethiopia,13439.6
Jordan,Brazil,13387.95
Czechia,Germany,12310.13
Austria,Italy,12209.81
United Kingdom of Great Britain and Northern Ireland,Ireland,12114.09
Azerbaijan,Brazil,12097.6
Finland,Netherlands (Kingdom of the),12050.06
Türkiye,Romania,11914.89
United States of America,India,11419.68
Philippines,Canada,11394.14
Myanmar,United States of America,11182.0
Austria,Slovenia,11149.73
France,Benin,10988.37
Togo,Benin,10693.8
Rwanda,United Republic of Tanzania,10381.11
Poland,Canada,10309.33
Italy,Hungary,10255.64
Uzbekistan,Ukraine,10209.1
Bosnia and Herzegovina,Croatia,10068.05
Republic of Korea,Russian Federation,9686.0
United Kingdom of Great Britain and Northern Ireland,Belgium,9681.37
Hungary,Austria,9245.69
Türkiye,Ghana,8825.65
Mozambique,Pakistan,8749.08
Austria,Germany,8701.35
"China, mainland",Ethiopia,8630.0
Israel,Ukraine,8488.07
Portugal,Spain,8414.66
Croatia,Italy,8368.31
Germany,France,8237.16
India,Djibouti,8100.0
Ireland,United States of America,8083.85
Paraguay,Argentina,8020.65
Poland,Germany,7920.04
Slovakia,Austria,7806.3
Chile,United States of America,7790.13
Peru,Argentina,7718.67
Sweden,Kazakhstan,7540.01
Canada,Türkiye,7350.09
United States of America,Uruguay,7293.41
United Arab Emirates,Paraguay,7200.0
Netherlands (Kingdom of the),France,7183.64
Italy,Slovakia,7107.5
Türkiye,India,6935.64
Uruguay,Argentina,6783.09
Pakistan,Argentina,6750.0
India,Sudan,6608.23
Hungary,Poland,6527.4
France,Burkina Faso,6331.28
Serbia,Romania,6269.49
Israel,"China, mainland",6190.36
Malaysia,Australia,6114.44
Finland,Poland,6085.27
Romania,Netherlands (Kingdom of the),5905.27
"China, Taiwan Province of","China, mainland",5826.0
Austria,Togo,5763.65
Germany,Serbia,5636.02
Sweden,Denmark,5508.12
Cambodia,United States of America,5368.69
Canada,Nigeria,5257.47
Türkiye,Russian Federation,5246.6
Singapore,Malaysia,5214.85
Indonesia,Malaysia,5208.32
India,Ghana,5186.74
France,Spain,5120.02
