m49,country,year,month,value
8,Albania,2017,Jan,164.1
8,Albania,2017,Feb,179.1
8,Albania,2017,Mar,233.3
8,Albania,2017,Apr,340.3
8,Albania,2017,May,344.0
8,Albania,2017,Jun,421.7
8,Albania,2017,Jul,833.1
8,Albania,2017,Aug,1123.0
8,Albania,2017,Sep,443.8
8,Albania,2017,Oct,368.7
8,Albania,2017,Nov,245.5
8,Albania,2017,Dec,239.3
8,Albania,2018,Jan,222.3
8,Albania,2018,Feb,182.1
8,Albania,2018,Mar,242.2
8,Albania,2018,Apr,335.0
8,Albania,2018,May,377.7
8,Albania,2018,Jun,481.6
8,Albania,2018,Jul,993.8
8,Albania,2018,Aug,1425.0
8,Albania,2018,Sep,648.2
8,Albania,2018,Oct,323.9
8,Albania,2018,Nov,236.6
8,Albania,2018,Dec,260.0
8,Albania,2019,Jan,199.7
8,Albania,2019,Feb,193.6
8,Albania,2019,Mar,270.4
8,Albania,2019,Apr,390.2
8,Albania,2019,May,385.9
8,Albania,2019,Jun,610.5
8,Albania,2019,Jul,1138.0
8,Albania,2019,Aug,1532.0
8,Albania,2019,Sep,575.7
8,Albania,2019,Oct,371.6
8,Albania,2019,Nov,258.5
8,Albania,2019,Dec,271.7
8,Albania,2020,Jan,238.8
8,Albania,2020,Feb,219.9
8,Albania,2020,Mar,90.4
8,Albania,2020,Apr,11.6
8,Albania,2020,May,15.6
8,Albania,2020,Jun,175.9
8,Albania,2020,Jul,378.8
8,Albania,2020,Aug,566.9
8,Albania,2020,Sep,368.6
8,Albania,2020,Oct,198.4
8,Albania,2020,Nov,144.1
8,Albania,2020,Dec,165.7
8,Albania,2021,Jan,175.5
8,Albania,2021,Feb,152.1
8,Albania,2021,Mar,163.3
8,Albania,2021,Apr,227.8
8,Albania,2021,May,319.7
8,Albania,2021,Jun,586.1
8,Albania,2021,Jul,1127.0
8,Albania,2021,Aug,1513.0
8,Albania,2021,Sep,479.3
8,Albania,2021,Oct,284.1
8,Albania,2021,Nov,233.5
8,Albania,2021,Dec,253.1
8,Albania,2022,Jan,186.3
8,Albania,2022,Feb,193.5
8,Albania,2022,Mar,265.3
8,Albania,2022,Apr,379.7
8,Albania,2022,May,578.7
8,Albania,2022,Jun,858.3
8,Albania,2022,Jul,1372.0
8,Albania,2022,Aug,1565.0
8,Albania,2022,Sep,733.0
8,Albania,2022,Oct,341.9
8,Albania,2022,Nov,343.6
8,Albania,2022,Dec,359.9
8,Albania,2023,Jan,360.5
8,Albania,2023,Feb,294.8
8,Albania,2023,Mar,366.4
8,Albania,2023,Apr,582.9
8,Albania,2023,May,653.7
8,Albania,2023,Jun,971.9
8,Albania,2023,Jul,1686.0
8,Albania,2023,Aug,1918.0
8,Albania,2023,Sep,1057.0
8,Albania,2023,Oct,658.9
8,Albania,2023,Nov,529.2
8,Albania,2023,Dec,590.5
8,Albania,2024,Jan,469.5
8,Albania,2024,Feb,462.3
8,Albania,2024,Mar,537.9
8,Albania,2024,Apr,764.1
8,Albania,2024,May,948.0
8,Albania,2024,Jun,1216.0
8,Albania,2024,Jul,1754.0
8,Albania,2024,Aug,2122.0
8,Albania,2024,Sep,1073.0
8,Albania,2024,Oct,730.1
8,Albania,2024,Nov,586.3
8,Albania,2024,Dec,629.2
8,Albania,2025,Jan,539.0
8,Albania,2025,Feb,499.4
8,Albania,2025,Mar,527.7
8,Albania,2025,Apr,776.3
8,Albania,2025,May,940.7
8,Albania,2025,Jun,1264.0
8,Albania,2025,Jul,1700.0
8,Albania,2025,Aug,2260.0
8,Albania,2025,Sep,1199.0
12,Algeria,2020,Jan,244.5
12,Algeria,2020,Feb,205.1
12,Algeria,2020,Mar,132.2
12,Algeria,2020,Apr,0.2
12,Algeria,2020,May,0.3
12,Algeria,2020,Jun,0.4
12,Algeria,2020,Jul,1.5
12,Algeria,2020,Aug,0.6
12,Algeria,2020,Sep,0.9
12,Algeria,2020,Oct,1.1
12,Algeria,2020,Nov,3.3
12,Algeria,2020,Dec,1.2
12,Algeria,2021,Jan,8.3
12,Algeria,2021,Feb,5.1
12,Algeria,2021,Mar,1.7
