country,year,month,value
Maldives,2015,Jan,214.9
Maldives,2015,Feb,214.1
Maldives,2015,Mar,203.5
Maldives,2015,Apr,198.3
Maldives,2015,May,135.6
Maldives,2015,Jun,141.8
Maldives,2015,Jul,186.7
Maldives,2015,Aug,192.1
Maldives,2015,Sep,149.6
Maldives,2016,Jan,108.4
Maldives,2016,Feb,120.6
Maldives,2016,Mar,115.1
Maldives,2016,Apr,103.5
Maldives,2016,May,93.2
Maldives,2016,Jun,79.0
Maldives,2016,Jul,110.4
Maldives,2016,Aug,112.3
Maldives,2016,Sep,101.9
Maldives,2016,Oct,117.5
Maldives,2016,Nov,104.6
Maldives,2016,Dec,119.5
Maldives,2017,Jan,125.3
Maldives,2017,Feb,121.1
Maldives,2017,Mar,112.7
Maldives,2017,Apr,119.8
Maldives,2017,May,93.5
Maldives,2017,Jun,85.2
Maldives,2017,Jul,113.2
Maldives,2017,Aug,121.3
Maldives,2017,Sep,106.0
Maldives,2017,Oct,128.0
Maldives,2017,Nov,120.5
Maldives,2017,Dec,143.0
Maldives,2018,Jan,142.4
Maldives,2018,Feb,144.3
Maldives,2018,Mar,133.5
Maldives,2018,Apr,119.7
Maldives,2018,May,92.9
Maldives,2018,Jun,93.8
Maldives,2018,Jul,122.3
Maldives,2018,Aug,124.0
Maldives,2018,Sep,107.6
Maldives,2018,Oct,127.4
Maldives,2018,Nov,125.6
Maldives,2018,Dec,150.8
Maldives,2019,Jan,151.6
Maldives,2019,Feb,168.6
Maldives,2019,Mar,162.8
Maldives,2019,Apr,163.1
Maldives,2019,May,103.0
Maldives,2019,Jun,113.5
Maldives,2019,Jul,132.1
Maldives,2019,Aug,139.3
Maldives,2019,Sep,117.6
Maldives,2019,Oct,141.9
Maldives,2019,Nov,137.9
Maldives,2019,Dec,171.3
Maldives,2020,Jan,173.3
Maldives,2020,Feb,149.8
Maldives,2020,Mar,59.6
Maldives,2020,Apr,0.0
Maldives,2020,May,0.0
Maldives,2020,Jun,0.0
Maldives,2020,Jul,1.8
Maldives,2020,Aug,7.6
Maldives,2020,Sep,9.6
Maldives,2020,Oct,21.5
Maldives,2020,Nov,35.8
Maldives,2020,Dec,96.4
Maldives,2021,Jan,92.1
Maldives,2021,Feb,96.9
Maldives,2021,Mar,109.6
Maldives,2021,Apr,91.2
Maldives,2021,May,64.6
Maldives,2021,Jun,56.2
Maldives,2021,Jul,101.8
Maldives,2021,Aug,143.6
Maldives,2021,Sep,114.9
Maldives,2021,Oct,142.1
Maldives,2021,Nov,144.7
Maldives,2021,Dec,164.3
Maldives,2022,Jan,131.8
Maldives,2022,Feb,149.0
Maldives,2022,Mar,150.7
Maldives,2022,Apr,145.3
Maldives,2022,May,125.5
Maldives,2022,Jun,110.9
Maldives,2022,Jul,133.6
Maldives,2022,Aug,131.9
Maldives,2022,Sep,112.0
Maldives,2022,Oct,153.7
Maldives,2022,Nov,146.9
Maldives,2022,Dec,184.1
Maldives,2023,Jan,172.5
Maldives,2023,Feb,177.9
Maldives,2023,Mar,173.5
Maldives,2023,Apr,164.4
Maldives,2023,May,121.0
Maldives,2023,Jun,120.4
Maldives,2023,Jul,145.6
Maldives,2023,Aug,154.9
Maldives,2023,Sep,131.0
Maldives,2023,Oct,159.1
Maldives,2023,Nov,163.7
Maldives,2023,Dec,194.7
Maldives,2024,Jan,192.4
Maldives,2024,Feb,217.4
Maldives,2024,Mar,194.2
Maldives,2024,Apr,168.4
Maldives,2024,May,119.9
Maldives,2024,Jun,123.3
Maldives,2024,Jul,167.5
Maldives,2024,Aug,176.2
Maldives,2024,Sep,132.8
Maldives,2024,Oct,172.6
Maldives,2024,Nov,173.0
Maldives,2024,Dec,209.0
Maldives,2025,Jan,214.9
Maldives,2025,Feb,214.1
Maldives,2025,Mar,203.5
Maldives,2025,Apr,198.3
Maldives,2025,May,135.6
Maldives,2025,Jun,141.8
Maldives,2025,Jul,186.7
Maldives,2025,Aug,192.1
Maldives,2025,Sep,149.6
Mali,2021,Jan,11.0
Mali,2021,Feb,10.7
Mali,2021,Mar,10.6
Mali,2021,Apr,9.8
Mali,2021,May,11.7
Mali,2021,Jun,15.4
Mali,2021,Jul,20.4
Mali,2021,Aug,15.5
Mali,2021,Sep,14.0
Mali,2021,Oct,16.0
Mali,2021,Nov,16.0
Mali,2021,Dec,17.1
Malta,2015,Feb,74.2
Malta,2015,Mar,101.2
Malta,2015,Apr,152.1
Malta,2015,May,173.6
Malta,2015,Jun,180.1
Malta,2015,Jul,206.6
Malta,2015,Aug,246.5
Malta,2015,Sep,192.5
Malta,2015,Oct,196.7
Malta,2015,Nov,113.0
Malta,2015,Dec,72.6
Malta,2016,Jan,84.8
Malta,2016,Feb,81.0
Malta,2016,Mar,115.5
Malta,2016,Apr,164.9
Malta,2016,May,190.6
Malta,2016,Jun,193.0
Malta,2016,Jul,225.3
Malta,2016,Aug,253.3
Malta,2016,Sep,206.9
Malta,2016,Oct,215.1
Malta,2016,Nov,140.4
Malta,2016,Dec,95.0
Malta,2017,Jan,104.1
Malta,2017,Feb,103.9
Malta,2017,Mar,140.9
Malta,2017,Apr,199.6
Malta,2017,May,215.4
Malta,2017,Jun,226.3
Malta,2017,Jul,251.1
Malta,2017,Aug,284.8
Malta,2017,Sep,235.9
Malta,2017,Oct,240.1
Malta,2017,Nov,162.5
Malta,2017,Dec,109.2
Malta,2018,Jan,124.8
Malta,2018,Feb,122.4
Malta,2018,Mar,167.2
Malta,2018,Apr,233.5
Malta,2018,May,256.9
Malta,2018,Jun,257.5
Malta,2018,Jul,289.2
Malta,2018,Aug,313.9
Malta,2018,Sep,271.4
Malta,2018,Oct,265.4
Malta,2018,Nov,175.2
Malta,2018,Dec,121.3
Malta,2019,Jan,127.7
Malta,2019,Feb,125.2
Malta,2019,Mar,173.0
Malta,2019,Apr,242.0
Malta,2019,May,262.1
Malta,2019,Jun,278.1
Malta,2019,Jul,304.3
Malta,2019,Aug,336.5
Malta,2019,Sep,286.5
Malta,2019,Oct,282.0
Malta,2019,Nov,191.1
Malta,2019,Dec,144.7
Malta,2020,Jan,149.2
Malta,2020,Feb,145.8
Malta,2020,Mar,75.2
Malta,2020,Apr,0.0
Malta,2020,May,0.0
Malta,2020,Jun,0.0
Malta,2020,Jul,48.7
Malta,2020,Aug,114.5
Malta,2020,Sep,50.4
Malta,2020,Oct,46.9
Malta,2020,Nov,14.9
Malta,2020,Dec,12.9
Malta,2021,Jan,13.8
Malta,2021,Feb,9.2
Malta,2021,Mar,10.3
Malta,2021,Apr,10.2
Malta,2021,May,26.0
Malta,2021,Jun,70.3
Malta,2021,Jul,121.3
Malta,2021,Aug,165.9
Malta,2021,Sep,159.3
Malta,2021,Oct,179.0
Malta,2021,Nov,127.2
Malta,2021,Dec,75.7
Malta,2022,Jan,59.7
Malta,2022,Feb,64.6
Malta,2022,Mar,110.9
Malta,2022,Apr,194.5
Malta,2022,May,221.2
Malta,2022,Jun,245.4
Malta,2022,Jul,277.0
Malta,2022,Aug,314.0
Malta,2022,Sep,249.0
Malta,2022,Oct,239.3
Malta,2022,Nov,174.5
Malta,2022,Dec,136.4
Malta,2023,Jan,136.8
Malta,2023,Feb,132.8
Malta,2023,Mar,174.9
Malta,2023,Apr,267.2
Malta,2023,May,285.6
Malta,2023,Jun,294.9
Malta,2023,Jul,325.9
Malta,2023,Aug,372.4
Malta,2023,Sep,299.3
Malta,2023,Oct,314.2
Malta,2023,Nov,217.9
Malta,2023,Dec,159.6
Malta,2024,Jan,172.5
Malta,2024,Feb,169.4
Malta,2024,Mar,241.4
Malta,2024,Apr,306.4
Malta,2024,May,352.2
Malta,2024,Jun,349.0
Malta,2024,Jul,381.7
Malta,2024,Aug,422.1
Malta,2024,Sep,358.2
Malta,2024,Oct,355.6
Malta,2024,Nov,262.9
Malta,2024,Dec,192.4
Malta,2025,Jan,194.2
Malta,2025,Feb,210.3
Malta,2025,Mar,289.0
Malta,2025,Apr,351.2
Malta,2025,May,374.3
Malta,2025,Jun,386.8
Malta,2025,Jul,405.3
Malta,2025,Aug,470.6
Malta,2025,Sep,393.8
Martinique,2015,Feb,50.5
Martinique,2015,Mar,53.5
Martinique,2015,Apr,49.0
Martinique,2015,May,35.5
Martinique,2015,Jun,29.1
Martinique,2015,Jul,40.8
Martinique,2015,Aug,52.5
Martinique,2015,Sep,25.7
Martinique,2015,Oct,26.7
