country,weighted_indegree
"China, mainland",91081347.28999999
Netherlands (Kingdom of the),4006372.69
Mexico,3824618.69
Japan,3503251.33
Germany,3431304.21
Argentina,3310609.23
Spain,3234206.62
Egypt,3194342.8499999996
Türkiye,3038982.67
Thailand,3022180.24
"China, Taiwan Province of",2745911.3
Indonesia,2324730.42
Italy,2182125.23
Pakistan,1629309.0100000002
Republic of Korea,1302775.74
Portugal,1070865.62
United Kingdom of Great Britain and Northern Ireland,906589.6
Malaysia,722446.79
Belgium,596522.63
Canada,549921.49
