country,total_import,num_partners,HHI,top1_share,top2_share,top3_share,top_partners
"China, mainland",91081347.29,11,0.46,0.6,0.92,0.96,"Brazil(59.7%), United States of America(32.4%), Argentina(4.0%), Uruguay(2.0%), Canada(0.8%)"
Netherlands (Kingdom of the),4006372.69,54,0.4,0.45,0.89,0.92,"Brazil(44.9%), United States of America(44.1%), Uruguay(2.9%), Ukraine(2.3%), Canada(2.3%)"
Mexico,3824618.69,2,0.93,0.96,1.0,,"United States of America(96.3%), Brazil(3.7%)"
Japan,3503251.33,9,0.58,0.74,0.91,0.99,"United States of America(73.5%), Brazil(17.0%), Canada(8.8%), China, mainland(0.6%), Russian Federation(0.1%)"
Germany,3431304.21,36,0.3,0.44,0.72,0.88,"United States of America(44.1%), Netherlands (Kingdom of the)(27.9%), Brazil(16.0%), Ukraine(3.6%), Austria(2.5%)"
Argentina,3310609.23,6,0.36,0.53,0.76,0.91,"Paraguay(52.5%), Uruguay(23.4%), Bolivia (Plurinational State of)(15.0%), Brazil(9.1%), United States of America(0.0%)"
Spain,3234206.62,23,0.51,0.66,0.94,0.97,"Brazil(65.5%), United States of America(28.0%), Canada(3.5%), Germany(0.9%), Ukraine(0.8%)"
Egypt,3194342.85,9,0.7,0.83,0.91,0.95,"United States of America(83.2%), Uruguay(8.0%), Brazil(4.1%), Ukraine(1.8%), Canada(1.6%)"
Türkiye,3038982.67,15,0.5,0.66,0.89,0.97,"Brazil(66.3%), Ukraine(23.0%), United States of America(7.6%), Argentina(1.3%), Uruguay(0.5%)"
Thailand,3022180.24,10,0.74,0.85,0.99,1.0,"Brazil(84.9%), United States of America(14.3%), Canada(0.7%), Cambodia(0.1%), France(0.0%)"
Republic of Korea,1302775.74,9,0.41,0.49,0.9,0.96,"United States of America(48.8%), Brazil(41.4%), China, mainland(6.1%), Canada(2.7%), Russian Federation(0.7%)"
