index,profit
1,-0.80035
2,15.20387
3,9.6651
4,0.64436
5,13.90618
6,13.70131
7,5.23255
8,6.90621
9,4.91018
10,4.21973
11,4.63399
12,11.42016
13,10.75961
14,13.02235
15,11.15996
16,-1.86054
17,-0.94427
18,11.34108
19,12.56284
20,8.4477
21,8.78771
22,6.33086
23,10.53143
24,11.94047
25,14.2168
26,10.59277
27,10.34831
28,4.20698
29,15.26068
30,11.11326
31,11.62335
32,12.32528
33,13.29642
34,2.37155
35,16.8103
36,8.39183
37,12.05938
38,9.67824
39,17.1049
40,8.43647
41,16.37717
42,11.00568
43,3.97814
44,4.03038
45,7.05578
46,16.52656
47,1.81957
48,1.62347
49,10.51086
50,-0.80314
51,13.24529
52,8.3644
53,6.48804
54,11.14927
55,17.49488
56,9.41612
57,0.09992
58,8.89821
59,9.96309
60,13.97857
61,8.78439
62,11.28063
63,7.9562
64,9.55372
65,11.12321
66,9.18877
67,17.43325
68,-0.16261
69,11.65941
70,1.00315
71,18.97823
72,9.54315
73,9.43012
74,17.36719
75,5.41467
76,16.38723
77,19.74817
78,6.6757
79,14.6638
80,13.63032
81,12.68655
82,5.38231
83,5.77566
84,3.00149
85,6.25547
86,7.8095
87,12.72821
88,6.70717
89,2.89361
90,-1.22228
91,18.83912
92,3.90157
93,20.66513
94,10.80087
95,11.9551
96,8.98028
97,12.67665
98,0.78938
99,9.27654
100,-1.2896
