시점,강수량
2016-01,51.1
2016-02,40.6
2016-03,52
2016-04,179.5
2016-05,99.9
2016-06,42
2016-07,220.7
2016-08,30.2
2016-09,139.3
2016-10,128.7
2016-11,34.6
2016-12,56.9
2017-01,18.7
2017-02,37.8
2017-03,21.9
2017-04,61.1
2017-05,38.3
2017-06,25.2
2017-07,372.6
2017-08,137.8
2017-09,105
2017-10,35.5
2017-11,10.6
2017-12,42
2018-01,34.6
2018-02,31.5
2018-03,98.5
2018-04,124.6
2018-05,112.5
2018-06,105
2018-07,258.2
2018-08,299.5
2018-09,67
2018-10,161.5
2018-11,39.7
2018-12,26.4
2019-01,8.8
2019-02,25.1
2019-03,30.4
2019-04,104.5
2019-05,60.7
2019-06,89
2019-07,225.5
2019-08,127.4
2019-09,243
2019-10,86.6
2019-11,55.6
2019-12,30.9
2020-01,79.1
2020-02,59
2020-03,22.1
2020-04,22.2
2020-05,111.9
2020-06,157.6
2020-07,509.8
2020-08,421.6
2020-09,224.3
2020-10,6.8
2020-11,49.4
2020-12,31
2021-01,32.6
2021-02,23.3
2021-03,100.4
2021-04,46.4
2021-05,81.7
2021-06,97.1
2021-07,224.6
2021-08,409.7
2021-09,166.6
2021-10,50.3
2021-11,100.3
2021-12,21
2022-01,5.2
2022-02,11
2022-03,69.7
2022-04,58.3
2022-05,7.2
2022-06,172.8
2022-07,126.1
2022-08,276.7
2022-09,85.9
2022-10,37.6
2022-11,63.7
2022-12,57
2023-01,35.4
2023-02,4.8
2023-03,19.8
2023-04,48.6
2023-05,236.7
2023-06,247.2
2023-07,647.2
2023-08,168.5
2023-09,191.2
2023-10,13.3
2023-11,104.7
2023-12,136.2
2024-01,54.7
2024-02,130.9
2024-03,75.2
2024-04,56.6
2024-05,88.3
2024-06,77.7
2024-07,325.5
2024-08,37.2
2024-09,165.1
2024-10,71.6
2024-11,50.4
2024-12,35
2025-01,44.8
2025-02,35.6
2025-03,43
2025-04,62.6
2025-05,82.9
2025-06,317.6
2025-07,209
2025-08,183
2025-09,348.1
2025-10,90.7
2025-11,21.5
2025-12,2.1
