Year,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation
1990,1247.0,0.0,1014.0,233.0,0.0
1991,1235.0,0.0,1052.0,183.0,0.0
1992,1445.0,0.0,1290.0,176.0,-20.0
1993,1313.0,0.0,1088.0,170.0,55.0
1994,1462.0,0.0,1228.0,154.0,80.0
1995,1502.0,0.0,1468.0,160.0,-125.0
1996,1678.0,2.0,1470.0,160.0,50.0
1997,1504.0,1.0,1568.0,156.0,-220.0
1998,1483.0,1.0,1413.0,140.0,-70.0
1999,1766.0,1.0,1441.0,116.0,210.0
2000,1474.0,2.0,1492.0,113.0,-130.0
2001,1572.0,1.0,1355.0,118.0,100.0
2002,1609.0,2.0,1475.0,115.0,20.0
2003,1569.0,2.0,1509.0,105.0,-43.0
2004,1398.0,2.0,1284.0,139.0,-22.0
2005,1267.0,2.0,1331.0,183.0,-245.0
2006,1353.0,2.0,1128.0,156.0,70.0
2007,1299.0,2.0,1186.0,114.0,0.0
2008,1307.0,2.0,1326.0,133.0,-150.0
