시점,쌀,마늘,노지고추,쌀보리,콩
2010,434162,3177210,1523014,101471,628568
2011,570045,3052502,3223723,156418,647613
2012,578374,2658583,3288168,251316,685305
2013,643360,2060844,1877008,235862,639160
2014,615217,1633872,1924646,271434,563431
2015,560966,3552528,2222201,195032,394623
2016,429546,3939985,1769760,131723,391343
2017,541450,2930682,2371302,227642,547131
2018,682906,1539238,4062344,152742,547510
2019,667403,1290803,2404063,242556,576345
2020,731727,1952614,3089316,189124,512246
2021,785867,4096206,3573476,201414,770596
2022,605615,3891929,2793928,267135,620199
2023,654539,1752753,3394300,216689,517824
