시점,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주도,충청남도,충청북도
2014,8680.0,7957.0,6549.0,15206.0,282.0,278.0,188.0,62.0,31.0,,260.0,587.0,15945.0,7244.0,6040.0,8223.0,11634.0
2015,5821.0,6346.0,5195.0,11597.0,202.0,224.0,141.0,65.0,14.0,,227.0,536.0,13368.0,5199.0,5107.0,6374.0,8811.0
2016,5553.0,5537.0,4561.0,9914.0,278.0,149.0,127.0,60.0,2.0,164.0,237.0,291.0,11439.0,4951.0,5582.0,5258.0,6995.0
2017,5596.0,5372.0,4141.0,9831.0,187.0,149.0,88.0,62.0,7.0,155.0,216.0,284.0,10340.0,6079.0,3592.0,5333.0,6608.0
2018,5172.0,5331.0,4275.0,10542.0,168.0,134.0,75.0,118.0,6.0,119.0,234.0,259.0,11384.0,8883.0,3668.0,5948.0,6510.0
2019,5925.0,6335.0,4149.0,10762.0,186.0,125.0,81.0,98.0,4.0,244.0,197.0,282.0,12177.0,12437.0,4035.0,7267.0,7373.0
2020,5941.0,6195.0,3901.0,10118.0,164.0,111.0,74.0,72.0,4.0,208.0,181.0,380.0,9939.0,11674.0,3724.0,6868.0,7182.0
2021,5275.0,6175.0,3556.0,10953.0,139.0,116.0,114.0,59.0,10.0,191.0,172.0,367.0,9379.0,10202.0,4754.0,7664.0,6146.0
2022,5740.0,6328.0,3743.0,12886.0,182.0,119.0,95.0,52.0,7.0,163.0,185.0,400.0,10972.0,13449.0,4940.0,8945.0,7440.0
2023,4967.0,6240.0,3703.0,12063.0,287.0,122.0,87.0,45.0,6.0,167.0,170.0,399.0,10641.0,17585.0,5271.0,8635.0,7154.0
2024,5225.0,6271.0,3795.0,13157.0,363.0,374.0,61.0,44.0,14.0,205.0,164.0,418.0,12258.0,20621.0,4581.0,9488.0,7708.0
