시점,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주도,충청남도,충청북도
2014,16879.0,16901.0,9947.0,28326.0,331.0,357.0,330.0,124.0,43.0,,383.0,1383.0,20519.0,14942.0,8772.0,14750.0,24594.0
2015,11257.0,8901.0,10029.0,20011.0,290.0,322.0,231.0,132.0,16.0,,404.0,434.0,20265.0,11108.0,8462.0,10269.0,16948.0
2016,10008.0,6598.0,6100.0,13405.0,407.0,178.0,173.0,102.0,3.0,313.0,327.0,281.0,16164.0,7316.0,9244.0,8455.0,11645.0
2017,7740.0,8122.0,7968.0,17511.0,282.0,282.0,137.0,121.0,9.0,249.0,286.0,383.0,16350.0,12694.0,6883.0,9338.0,12811.0
2018,9048.0,8333.0,6150.0,18776.0,260.0,228.0,115.0,237.0,10.0,182.0,319.0,351.0,15897.0,18454.0,5286.0,9688.0,12744.0
2019,10952.0,10369.0,6284.0,21264.0,293.0,214.0,123.0,156.0,10.0,409.0,292.0,410.0,16954.0,24747.0,4114.0,11713.0,16846.0
2020,9560.0,8754.0,6008.0,17258.0,290.0,137.0,90.0,123.0,9.0,256.0,270.0,578.0,12339.0,15946.0,3945.0,10227.0,12888.0
2021,10899.0,10535.0,5939.0,24981.0,322.0,173.0,197.0,110.0,20.0,328.0,271.0,619.0,15918.0,24448.0,5738.0,16646.0,10922.0
2022,10054.0,11121.0,6409.0,24905.0,382.0,138.0,239.0,95.0,12.0,337.0,230.0,681.0,20674.0,34860.0,6653.0,18329.0,14533.0
2023,10428.0,12127.0,6694.0,22850.0,566.0,153.0,198.0,84.0,8.0,259.0,252.0,752.0,20526.0,39558.0,7508.0,19427.0,16047.0
2024,10333.0,13251.0,6593.0,24830.0,825.0,612.0,114.0,100.0,42.0,354.0,186.0,661.0,22049.0,52172.0,6045.0,20082.0,15544.0
