year,D_comp,D_scale
1987,5817099.984974383,5089396.458676038
1988,4318854.423562619,5264185.45837061
1989,8111796.894394496,5554256.551936522
1990,2183729.934769622,9841123.691282313
1991,3252338.720444187,3054757.5442716666
1992,1774449.8448688667,3652842.0002835724
1993,2185462.3998418613,3420953.2343863496
1994,3132573.4333063615,3560418.871295592
1995,6258931.108718511,5966561.0756328255
1996,4112229.1444881214,3733868.752527766
1997,3537851.218725853,6184731.834536614
1998,2794014.0084325015,4603154.261711314
1999,3012705.27492213,3291508.2160123917
2000,3472022.512756712,4750833.980270196
2001,2816656.3275933233,3714297.0362698636
2002,2605810.6334706172,3652893.261910057
2003,2336443.6253029075,4343860.354640815
2004,4978786.670819102,5222135.560896149
2005,3933626.85294255,4109922.3064398686
2006,3535597.777525179,4463631.734917371
2007,3338874.4448934323,5046580.697474227
2008,3986564.9790272755,5469718.220774078
2009,2649123.8847018066,6645233.076588178
2010,3001304.6305572214,5711624.008132504
2011,2390348.8151537445,5822835.254572749
2012,4861958.996755724,5876424.742844241
2013,5518468.930293765,7565724.861899922
2014,7753239.773786928,8107635.530398632
2015,2824974.388280207,6352122.314294104
2016,3987083.762526984,5165337.756501291
2017,4328756.904265111,9061180.72842963
2018,4406460.705594258,12789487.924547482
2019,5678550.505288393,8564357.310749294
2020,5430633.8979553245,7231765.032255286
2021,13035468.48859965,8883955.529982924
2022,5593810.42724461,6136733.562383427
2023,13109371.372030707,11958539.283859828
2024,8903131.80573076,8737286.605563207
