exporter,year,value
United States of America,2019,1074419.1
Brazil,2015,745814.42
United States of America,2018,693448.06
Brazil,2021,654868.8
United States of America,2020,649867.86
United States of America,2022,635477.08
United States of America,2016,619975.73
Brazil,2020,612606.22
United States of America,2014,608116.7
United States of America,2017,584226.05
United States of America,2013,553120.0
United States of America,2011,552931.0
United States of America,2021,545857.14
Brazil,2022,538722.45
United States of America,2015,529647.73
Brazil,2017,495925.48
United States of America,2012,494465.0
Brazil,2016,483692.55
Brazil,2018,472279.6
Brazil,2014,465510.59
Brazil,2013,396906.0
Brazil,2011,386076.0
Brazil,2012,358765.0
Paraguay,2016,162768.2
Paraguay,2012,156139.0
Paraguay,2017,149589.81
"China, mainland",2012,121468.0
Brazil,2019,118513.52
Paraguay,2014,109191.76
"China, mainland",2011,105717.0
Paraguay,2013,90455.0
Paraguay,2011,89276.0
"China, mainland",2022,79256.19
"China, mainland",2014,72352.45
"China, mainland",2013,52297.0
"China, mainland",2018,48706.36
"China, mainland",2019,43598.53
"China, mainland",2020,39344.06
"China, mainland",2017,39026.79
"China, mainland",2021,37535.45
Canada,2022,35115.6
"China, mainland",2016,34132.05
"China, mainland",2015,24371.14
Canada,2016,24194.0
Canada,2019,18837.99
Canada,2013,18421.0
Canada,2020,16148.22
Canada,2017,15241.16
Canada,2021,14463.31
Canada,2011,13465.0
Canada,2015,13318.93
Russian Federation,2021,12926.01
Canada,2018,12494.92
Russian Federation,2018,11680.0
Russian Federation,2022,9686.0
Russian Federation,2020,9522.1
Russian Federation,2019,8286.06
Canada,2012,7800.0
Canada,2014,6495.89
Australia,2013,4988.0
Australia,2022,4150.92
Russian Federation,2017,1498.03
Australia,2016,1296.35
Paraguay,2015,1217.0
Australia,2015,1185.6
Australia,2014,1106.83
Australia,2012,1058.0
Australia,2018,906.86
Australia,2017,813.93
Australia,2021,809.02
Russian Federation,2015,664.16
Russian Federation,2016,652.01
France,2016,340.12
France,2018,280.01
Australia,2020,254.01
Ukraine,2020,253.86
Australia,2019,213.0
Austria,2022,199.61
Russian Federation,2013,170.0
Paraguay,2020,149.36
Ukraine,2021,138.53
Ethiopia,2013,128.0
Russian Federation,2014,108.0
Ukraine,2022,93.0
Russian Federation,2011,92.0
Ethiopia,2016,86.0
Paraguay,2021,76.15
Paraguay,2022,74.89
Russian Federation,2012,72.0
Mongolia,2013,54.0
Cambodia,2013,40.0
Argentina,2012,36.0
Ukraine,2019,16.99
Paraguay,2019,14.16
Thailand,2011,1.0
Thailand,2012,1.0
Thailand,2013,1.0
"China, Taiwan Province of",2022,0.57
Viet Nam,2022,0.18
Viet Nam,2018,0.1
Viet Nam,2021,0.09
Uruguay,2014,0.07
India,2014,0.07
Argentina,2014,0.07
Singapore,2020,0.06
Viet Nam,2014,0.05
Viet Nam,2020,0.05
Viet Nam,2016,0.04
India,2016,0.04
"China, Taiwan Province of",2020,0.03
Singapore,2014,0.03
Czechia,2020,0.03
India,2021,0.03
Japan,2015,0.03
Viet Nam,2015,0.03
India,2015,0.03
India,2018,0.03
Peru,2021,0.03
Ethiopia,2015,0.02
Austria,2020,0.02
Nigeria,2019,0.02
France,2015,0.02
France,2017,0.02
Romania,2018,0.01
Togo,2015,0.01
Thailand,2021,0.01
India,2022,0.01
India,2019,0.01
Viet Nam,2019,0.01
India,2017,0.01
Argentina,2017,0.01
Singapore,2019,0.01
Ukraine,2014,0.01
South Africa,2021,0.01
Türkiye,2018,0.01
Singapore,2021,0.01
Argentina,2016,0.01
Japan,2014,0.01
Mexico,2014,0.01
Latvia,2021,0.01
Myanmar,2019,0.01
United Arab Emirates,2014,0.01
France,2022,0.01
Japan,2021,0.01
Bolivia (Plurinational State of),2016,0.01
Argentina,2015,0.01
Germany,2021,0.01
Viet Nam,2012,0.0
Germany,2022,0.0
Türkiye,2022,0.0
Costa Rica,2020,0.0
Uruguay,2016,0.0
Italy,2013,0.0
"China, Taiwan Province of",2011,0.0
Netherlands (Kingdom of the),2012,0.0
Singapore,2013,0.0
Cambodia,2011,0.0
Belgium,2019,0.0
Argentina,2020,0.0
Germany,2016,0.0
Myanmar,2015,0.0
Belgium,2020,0.0
Ukraine,2013,0.0
Poland,2018,0.0
Benin,2022,0.0
Argentina,2011,0.0
Italy,2016,0.0
South Africa,2011,0.0
Argentina,2013,0.0
Lithuania,2022,0.0
Benin,2014,0.0
Uruguay,2021,0.0
Ukraine,2018,0.0
Thailand,2022,0.0
Kazakhstan,2020,0.0
Czechia,2022,0.0
Ethiopia,2012,0.0
Ethiopia,2014,0.0
United Arab Emirates,2011,0.0
Kyrgyzstan,2022,0.0
Uruguay,2013,0.0
Iran (Islamic Republic of),2017,0.0
Australia,2011,0.0
Japan,2016,0.0
Ethiopia,2022,0.0
Saudi Arabia,2014,0.0
Cambodia,2012,0.0
Uganda,2021,0.0
Myanmar,2012,0.0
Malaysia,2013,0.0
India,2011,0.0
Japan,2022,0.0
Serbia,2012,0.0
Nigeria,2016,0.0
Myanmar,2013,0.0
Czechia,2021,0.0
Singapore,2016,0.0
Guatemala,2012,0.0
Malaysia,2014,0.0
Chile,2019,0.0
Japan,2018,0.0
Israel,2011,0.0
"China, Taiwan Province of",2017,0.0
Indonesia,2012,0.0
Lithuania,2017,0.0
Myanmar,2011,0.0
Singapore,2018,0.0
Mexico,2018,0.0
Japan,2012,0.0
United Kingdom of Great Britain and Northern Ireland,2014,0.0
Ukraine,2015,0.0
Viet Nam,2013,0.0
Italy,2018,0.0
Philippines,2012,0.0
Singapore,2012,0.0
Ethiopia,2019,0.0
Serbia,2020,0.0
South Africa,2013,0.0
Peru,2016,0.0
Ukraine,2017,0.0
Indonesia,2014,0.0
Greece,2020,0.0
France,2020,0.0
India,2012,0.0
Myanmar,2017,0.0
United Arab Emirates,2017,0.0
United Republic of Tanzania,2021,0.0
South Africa,2017,0.0
Israel,2012,0.0
Argentina,2018,0.0
Pakistan,2016,0.0
Germany,2015,0.0
Belgium,2018,0.0
Paraguay,2018,0.0
Singapore,2022,0.0
United Kingdom of Great Britain and Northern Ireland,2018,0.0
India,2013,0.0
Nigeria,2021,0.0
Nigeria,2018,0.0
Uruguay,2012,0.0
Türkiye,2016,0.0
Belgium,2016,0.0
India,2020,0.0
Ukraine,2012,0.0
Japan,2020,0.0
Malawi,2022,0.0
Singapore,2011,0.0
Belgium,2015,0.0
Myanmar,2022,0.0
United Kingdom of Great Britain and Northern Ireland,2021,0.0
Mongolia,2011,0.0
Uruguay,2011,0.0
Saudi Arabia,2013,0.0
"China, Hong Kong SAR",2011,0.0
Peru,2011,0.0
Uganda,2013,0.0
Thailand,2019,0.0
Czechia,2013,0.0
Nigeria,2022,0.0
Japan,2011,0.0
Türkiye,2011,0.0
United Kingdom of Great Britain and Northern Ireland,2016,0.0
