importer,exporter,value
"China, mainland",Brazil,71592496.82
"China, mainland",United States of America,26506551.32
Argentina,Paraguay,5829120.0
Argentina,Brazil,4081112.1
Thailand,Brazil,2750180.24
Mexico,United States of America,2585370.94
Japan,United States of America,2167712.0
Germany,United States of America,2009017.04
"China, mainland",Argentina,1992167.38
Indonesia,United States of America,1949364.92
Türkiye,Brazil,1682933.86
Spain,Brazil,1662227.34
Netherlands (Kingdom of the),Brazil,1651780.33
Spain,United States of America,1537149.65
"China, mainland",Canada,1466187.2
Mexico,Brazil,1434982.65
Netherlands (Kingdom of the),United States of America,1426388.34
Egypt,United States of America,1374644.41
"China, Taiwan Province of",Brazil,1352838.0
"China, mainland",Russian Federation,1292598.6
Egypt,Ukraine,1139909.95
"China, Taiwan Province of",United States of America,1115522.0
Italy,Brazil,1101992.83
Türkiye,Ukraine,1009456.87
Germany,Netherlands (Kingdom of the),754702.46
Japan,Brazil,645822.0
United Kingdom of Great Britain and Northern Ireland,Brazil,590385.68
Portugal,Brazil,568572.71
Colombia,United States of America,433513.23
Italy,United States of America,421604.09
Argentina,Bolivia (Plurinational State of),395923.2
Thailand,United States of America,379035.37
Saudi Arabia,Brazil,365466.36
Canada,United States of America,352171.28
United States of America,Brazil,346156.0
India,Togo,341491.99
Japan,Canada,324352.0
Malaysia,United States of America,286407.01
Norway,Brazil,278823.1
Indonesia,Canada,271280.54
Portugal,United States of America,263832.11
France,Brazil,259358.19
Costa Rica,United States of America,250430.81
Netherlands (Kingdom of the),Ukraine,243512.34
Italy,Canada,229889.69
Malaysia,South Africa,203053.71
United Kingdom of Great Britain and Northern Ireland,United States of America,186121.06
Saudi Arabia,United States of America,179841.43
Türkiye,United States of America,179197.23
Germany,Ukraine,175121.82
Israel,Brazil,171542.07
Brazil,Paraguay,164986.71
India,Niger,164748.4
Egypt,Brazil,161115.85
Romania,Ukraine,149806.51
"China, mainland",South Africa,147497.1
Poland,Ukraine,147078.58
Italy,Ukraine,145441.22
Pakistan,Brazil,144752.69
Pakistan,United States of America,135650.19
Belgium,Canada,130574.4
"China, mainland",Ethiopia,130203.8
Netherlands (Kingdom of the),Canada,124482.26
Philippines,United States of America,124018.02
Greece,Brazil,117575.06
Egypt,Uruguay,104829.63
Togo,Burkina Faso,100831.04
Italy,Uruguay,99730.63
Hungary,Ukraine,97833.0
Peru,United States of America,92782.05
United States of America,Canada,90723.97
"China, mainland",Benin,90151.16
Italy,Slovenia,89790.67
Pakistan,Togo,89335.13
Thailand,South Africa,85393.2
United States of America,Argentina,85372.73
Italy,Croatia,84967.5
Serbia,Croatia,84505.39
Pakistan,Nigeria,77132.05
Belgium,Netherlands (Kingdom of the),76330.19
Slovenia,Ukraine,75996.59
Peru,Bolivia (Plurinational State of),73656.57
"China, mainland",United Republic of Tanzania,69740.04
Germany,Austria,66706.68
India,Mozambique,66439.8
Belgium,Brazil,65612.7
Egypt,Canada,62253.23
Peru,Brazil,61273.0
Argentina,Uruguay,61002.21
"China, Taiwan Province of",Canada,60099.0
United Kingdom of Great Britain and Northern Ireland,Ukraine,59584.32
France,United States of America,59383.74
India,United Republic of Tanzania,58355.1
Kazakhstan,Russian Federation,58257.22
Greece,Ukraine,54435.93
Germany,Poland,52750.75
Malaysia,Canada,51590.22
Colombia,Brazil,51202.02
Pakistan,Benin,50731.33
Thailand,Canada,50123.27
France,Ukraine,49741.17
"China, mainland",Ukraine,49115.77
Austria,Hungary,49082.83
Norway,Canada,48735.22
Hungary,Slovakia,47342.46
Malaysia,Brazil,46023.21
Spain,Canada,43369.35
Egypt,Argentina,43304.22
Republic of Moldova,Ukraine,42189.96
United States of America,Ghana,42172.53
France,Togo,41377.06
Lebanon,Brazil,40535.05
Italy,Romania,40481.72
India,Ethiopia,40072.0
"China, mainland",Uruguay,38422.5
Germany,Hungary,37764.53
Netherlands (Kingdom of the),Belgium,36701.0
Israel,Canada,35730.62
Canada,Togo,35625.06
Belgium,France,35587.78
United Kingdom of Great Britain and Northern Ireland,Canada,35576.1
United States of America,Türkiye,35031.12
Malaysia,Mozambique,34800.0
Italy,Hungary,34721.17
Panama,United States of America,34424.85
Portugal,Canada,34378.51
Pakistan,United Republic of Tanzania,33291.6
Dominican Republic,United States of America,32918.15
Norway,United States of America,32503.22
India,Burkina Faso,31551.38
Spain,Uruguay,31140.28
Austria,Ukraine,31044.92
Germany,Czechia,30446.13
Portugal,South Africa,29921.97
United States of America,Togo,27594.21
Uzbekistan,Kazakhstan,26640.81
Netherlands (Kingdom of the),Romania,26583.85
Israel,United States of America,25762.27
Pakistan,Ethiopia,25657.7
Pakistan,Mozambique,25375.31
Greece,Canada,24924.9
Barbados,United States of America,24590.39
Indonesia,Brazil,24220.0
Belgium,Togo,24111.23
Ireland,Canada,23965.47
Italy,Togo,23178.41
Indonesia,Argentina,23127.04
Portugal,Spain,22820.89
Togo,Benin,22162.8
Slovakia,Ukraine,21872.49
Costa Rica,Brazil,21450.5
Denmark,Germany,21222.39
Uruguay,Brazil,21158.35
Spain,Ukraine,21005.6
Morocco,United States of America,20757.36
Pakistan,Zambia,20275.95
United Republic of Tanzania,Zambia,20152.27
Togo,Ghana,20000.0
Czechia,Germany,19778.92
Egypt,Romania,19436.91
United States of America,Russian Federation,18408.51
Italy,Austria,18292.57
Netherlands (Kingdom of the),France,18144.71
"China, Hong Kong SAR",Canada,17679.2
Japan,"China, mainland",17535.0
United Kingdom of Great Britain and Northern Ireland,Ireland,17240.69
Germany,Cyprus,17139.87
Zimbabwe,Zambia,17068.2
Netherlands (Kingdom of the),Germany,16931.46
Malaysia,Argentina,16914.9
Brazil,Uruguay,16032.0
Israel,Ukraine,15960.39
Singapore,Canada,15508.41
Spain,France,15355.82
France,Canada,15083.16
Canada,Uganda,14893.22
Serbia,Hungary,14865.71
Morocco,Brazil,14796.83
Egypt,Sudan,14702.45
Austria,Germany,14603.2
Germany,Slovakia,14020.05
United Republic of Tanzania,Malawi,13703.0
Thailand,Cambodia,12843.8
Finland,Netherlands (Kingdom of the),12414.37
Austria,Slovakia,12289.08
Philippines,Argentina,11691.23
Uruguay,Argentina,11485.56
Philippines,Canada,11393.8
Canada,India,11338.38
India,Zambia,11175.1
France,Belgium,10283.23
Canada,Nigeria,9608.41
Türkiye,Nigeria,9554.43
Austria,Slovenia,9486.49
Austria,Croatia,9212.32
Austria,Italy,9191.33
Austria,Romania,9172.86
Myanmar,United States of America,9100.85
Italy,France,8964.92
Romania,Hungary,8857.2
Germany,Romania,8843.01
"China, mainland",Kazakhstan,8512.48
Paraguay,Brazil,8408.69
Bosnia and Herzegovina,Croatia,8281.04
Denmark,Luxembourg,8158.39
Germany,France,8154.31
Netherlands (Kingdom of the),Poland,7399.72
Spain,Portugal,7291.86
Hungary,Romania,7231.62
Azerbaijan,Ukraine,7223.25
Greece,United States of America,7187.12
Hungary,Poland,7050.1
United Kingdom of Great Britain and Northern Ireland,Belgium,6915.45
Brunei Darussalam,Argentina,6600.04
Slovakia,Hungary,6437.66
Lebanon,Ukraine,6401.11
Indonesia,Malaysia,6331.68
Pakistan,Ghana,6310.77
Spain,Italy,6261.83
Jordan,Brazil,6177.77
Italy,Slovakia,5839.3
Poland,Germany,5825.0
Côte d'Ivoire,Burkina Faso,5804.06
Thailand,Ukraine,5765.22
Czechia,Ukraine,5760.73
Türkiye,Russian Federation,5722.21
Denmark,Netherlands (Kingdom of the),5698.11
Zimbabwe,Malawi,5590.0
Sweden,Denmark,5542.31
Azerbaijan,Brazil,5500.48
India,Benin,5488.14
Germany,Italy,5472.21
Belgium,Ukraine,5411.05
"China, Taiwan Province of","China, mainland",5310.0
Slovenia,Bosnia and Herzegovina,5086.37
Croatia,Slovenia,5082.92
Türkiye,Ghana,5061.65
Belgium,United States of America,5048.13
Italy,Germany,5034.68
Croatia,Austria,5019.22
Türkiye,Romania,4947.8
Romania,Netherlands (Kingdom of the),4815.16
United States of America,Ukraine,4723.19
Croatia,Hungary,4715.54
Croatia,Italy,4701.92
Canada,Ghana,4625.09
Belgium,"China, mainland",4579.65
India,Malawi,4495.79
France,Burkina Faso,4431.86
Botswana,Zambia,4397.5
Germany,"China, mainland",4286.76
France,Spain,4240.77
Romania,Republic of Moldova,4215.95
Bolivia (Plurinational State of),Argentina,4197.29
Mozambique,South Africa,4047.26
Denmark,France,4038.53
Sweden,Latvia,3985.9
United Kingdom of Great Britain and Northern Ireland,Netherlands (Kingdom of the),3824.93
Germany,Belgium,3599.57
France,Germany,3539.36
Switzerland,France,3500.03
Belgium,Hungary,3484.57
United States of America,Uruguay,3457.86
Canada,"China, mainland",3431.93
United States of America,Chile,3414.98
South Africa,Zambia,3394.5
Netherlands (Kingdom of the),"China, mainland",3372.39
United Kingdom of Great Britain and Northern Ireland,"China, mainland",3338.9
Slovenia,Croatia,3328.72
Sri Lanka,India,3284.01
Austria,Czechia,3265.8
"China, Taiwan Province of",Australia,3259.0
Israel,"China, mainland",3246.35
Finland,Poland,3227.55
France,Uganda,3167.86
Singapore,United States of America,3151.78
Ireland,United Kingdom of Great Britain and Northern Ireland,3095.39
Netherlands (Kingdom of the),Italy,3085.61
Slovakia,Austria,3072.29
Canada,Benin,3022.16
United Kingdom of Great Britain and Northern Ireland,Paraguay,2950.0
Singapore,Malaysia,2917.09
Hungary,Austria,2911.3
Netherlands (Kingdom of the),Togo,2910.16
Serbia,Slovakia,2844.92
Italy,Benin,2755.58
Denmark,Italy,2714.5
Slovakia,Czechia,2701.31
Kyrgyzstan,Russian Federation,2606.41
Finland,Germany,2581.33
Sweden,Kazakhstan,2500.0
Czechia,Slovakia,2399.98
France,Austria,2312.96
Italy,"China, mainland",2270.36
Belgium,Burkina Faso,2262.29
"China, Hong Kong SAR","China, mainland",2251.37
Norway,Poland,2218.51
Czechia,Austria,2213.58
United States of America,Mexico,2166.6
Romania,Italy,2153.56
France,Italy,2144.21
Pakistan,Malawi,2136.49
Switzerland,Austria,2117.93
Switzerland,Ukraine,2092.54
United Kingdom of Great Britain and Northern Ireland,France,2069.0
Serbia,Ukraine,2065.49
Germany,Togo,2059.69
Austria,Poland,2053.76
Serbia,Romania,2027.26
"China, Taiwan Province of",Bolivia (Plurinational State of),1982.0
Zimbabwe,South Africa,1822.64
Canada,Türkiye,1800.19
Uruguay,Paraguay,1791.2
Italy,Poland,1746.86
Denmark,"China, mainland",1732.51
Türkiye,Togo,1722.12
Poland,Belgium,1701.12
Jordan,Ukraine,1688.48
Netherlands (Kingdom of the),Austria,1674.7
Hungary,Croatia,1645.58
Finland,Austria,1605.26
Germany,Canada,1586.65
Hungary,Slovenia,1567.2
Slovakia,Serbia,1558.48
Belgium,Austria,1540.7
Switzerland,Germany,1540.56
"China, Taiwan Province of",France,1511.0
Mauritania,France,1500.06
Netherlands (Kingdom of the),Egypt,1454.58
New Zealand,Canada,1450.2
Portugal,Romania,1429.3
"China, Taiwan Province of",South Africa,1417.0
Slovakia,Poland,1415.99
United States of America,Paraguay,1398.25
Australia,"China, mainland",1382.34
Poland,Slovakia,1370.94
Poland,Canada,1346.29
Türkiye,Turkmenistan,1340.22
Hungary,Italy,1324.22
Saudi Arabia,Canada,1312.39
Thailand,France,1307.35
Sri Lanka,Mozambique,1305.0
Spain,"China, mainland",1293.57
Türkiye,Republic of Moldova,1281.44
United States of America,"China, mainland",1277.01
Slovakia,Slovenia,1232.08
Myanmar,Canada,1226.7
France,Côte d'Ivoire,1221.65
Canada,Ukraine,1154.77
France,Benin,1140.38
Sweden,"China, mainland",1108.61
Belgium,Germany,1105.17
Kenya,United Republic of Tanzania,1096.6
France,Netherlands (Kingdom of the),1063.77
Malaysia,"China, mainland",1061.39
Belgium,Italy,1051.53
United Arab Emirates,Canada,1033.61
Italy,Bosnia and Herzegovina,1021.0
Italy,Netherlands (Kingdom of the),1019.12
Czechia,Netherlands (Kingdom of the),989.9
Philippines,"China, mainland",966.1
Togo,"China, mainland",965.42
Gabon,Belgium,956.22
Poland,Czechia,948.26
Romania,Serbia,941.47
Hungary,Belgium,938.88
Czechia,Italy,936.64
Slovakia,Germany,924.67
New Zealand,Australia,909.5
Canada,Burkina Faso,889.93
Serbia,Bosnia and Herzegovina,886.7
Spain,Togo,885.97
United Arab Emirates,Nigeria,883.74
Denmark,Slovenia,861.66
Germany,Lithuania,861.38
Romania,United States of America,828.06
Ghana,Togo,810.0
Hungary,Netherlands (Kingdom of the),802.74
Slovakia,Netherlands (Kingdom of the),788.36
Belgium,Romania,783.47
France,"China, mainland",782.34
Switzerland,Italy,774.61
Romania,Bulgaria,774.4
Romania,Austria,762.63
Jordan,United States of America,748.53
Armenia,Russian Federation,738.06
Morocco,Canada,732.0
Ireland,Netherlands (Kingdom of the),706.23
Slovakia,Italy,696.15
United Arab Emirates,India,690.48
Czechia,Canada,689.16
Egypt,Russian Federation,683.32
India,Uganda,676.25
Slovenia,Austria,672.32
Montenegro,Serbia,659.86
Austria,Canada,652.74
Paraguay,Argentina,615.27
Netherlands (Kingdom of the),Denmark,609.52
Hungary,Germany,605.57
Bulgaria,Republic of Moldova,586.45
Brunei Darussalam,Canada,561.67
Italy,Latvia,547.65
Ukraine,Poland,547.52
Croatia,Ukraine,541.44
Spain,Luxembourg,540.03
Czechia,France,539.32
Argentina,United States of America,537.53
Slovenia,Italy,529.99
Malaysia,Bolivia (Plurinational State of),506.0
