Year,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation
1970,261.0,0.0,30.0,232.0,0.0
1971,290.0,0.0,62.0,229.0,0.0
1972,261.0,0.0,37.0,224.0,0.0
1973,317.0,0.0,72.0,246.0,0.0
1974,368.0,0.0,50.0,319.0,0.0
1975,367.0,0.0,57.0,311.0,0.0
1976,443.0,0.0,148.0,295.0,0.0
1977,452.0,0.0,133.0,319.0,0.0
1978,531.0,1.0,239.0,293.0,0.0
1979,685.0,0.0,428.0,257.0,0.0
1980,759.0,1.0,543.0,216.0,0.0
1981,748.0,3.0,494.0,257.0,0.0
1982,815.0,1.0,583.0,233.0,0.0
1983,884.0,1.0,658.0,226.0,0.0
1984,974.0,2.0,722.0,254.0,0.0
1985,1101.0,1.0,868.0,234.0,0.0
1986,1184.0,1.0,986.0,199.0,0.0
1987,1318.0,1.0,1116.0,203.0,0.0
1988,1266.0,0.0,1027.0,239.0,0.0
1989,1305.0,2.0,1056.0,252.0,0.0
