country,total_import,num_partners,HHI,top1_share,top2_share,top3_share,top_partners
"China, mainland",91081347.29,11,0.4638989618340856,0.5971973583879119,0.9214458509576138,0.9615149666282456,"Brazil(59.7%), United States of America(32.4%), Argentina(4.0%), Uruguay(2.0%), Canada(0.8%)"
Netherlands (Kingdom of the),4006372.6900000004,54,0.3983380560746296,0.44946161511499316,0.8900953895030669,0.919310914132654,"Brazil(44.9%), United States of America(44.1%), Uruguay(2.9%), Ukraine(2.3%), Canada(2.3%)"
Mexico,3824618.69,2,0.9294779297275255,0.9633993578586,1.0,,"United States of America(96.3%), Brazil(3.7%)"
Japan,3503251.33,9,0.5775626422794214,0.735365738089936,0.9056595434162013,0.993802234565911,"United States of America(73.5%), Brazil(17.0%), Canada(8.8%), China, mainland(0.6%), Russian Federation(0.1%)"
Germany,3431304.2099999995,36,0.30011391554310396,0.4409785805613546,0.7198346077277713,0.8797915763930475,"United States of America(44.1%), Netherlands (Kingdom of the)(27.9%), Brazil(16.0%), Ukraine(3.6%), Austria(2.5%)"
Argentina,3310609.23,6,0.361490242454066,0.5254966923414275,0.7595374129975467,0.9090952362263547,"Paraguay(52.5%), Uruguay(23.4%), Bolivia (Plurinational State of)(15.0%), Brazil(9.1%), United States of America(0.0%)"
Spain,3234206.620000001,23,0.5095730081990225,0.6554444162259488,0.9357417121358804,0.9702502958824563,"Brazil(65.5%), United States of America(28.0%), Canada(3.5%), Germany(0.9%), Ukraine(0.8%)"
Egypt,3194342.85,9,0.7015012528711815,0.8322553166138693,0.9125711036309079,0.9537343118945418,"United States of America(83.2%), Uruguay(8.0%), Brazil(4.1%), Ukraine(1.8%), Canada(1.6%)"
Türkiye,3038982.6700000004,15,0.49897713861815945,0.6633231969039164,0.893618978748569,0.9692419963684753,"Brazil(66.3%), Ukraine(23.0%), United States of America(7.6%), Argentina(1.3%), Uruguay(0.5%)"
Thailand,3022180.2400000007,10,0.7411609115832003,0.8489536878184338,0.9917344737850577,0.9989294384374637,"Brazil(84.9%), United States of America(14.3%), Canada(0.7%), Cambodia(0.1%), France(0.0%)"
Republic of Korea,1302775.7399999998,9,0.4134271547276066,0.48778700776236444,0.9013059530875207,0.962142356135677,"United States of America(48.8%), Brazil(41.4%), China, mainland(6.1%), Canada(2.7%), Russian Federation(0.7%)"
