country,year,month,value
Zambia,2022,Jan,50.0
Zambia,2022,Feb,94.8
Zambia,2022,Mar,62.9
Zambia,2022,Apr,75.3
Zambia,2022,May,71.4
Zambia,2022,Jun,85.9
Zambia,2022,Jul,97.3
Zambia,2022,Aug,109.4
Zambia,2022,Sep,101.9
Zambia,2022,Oct,106.0
Zambia,2022,Nov,95.6
Zambia,2022,Dec,110.2
Zambia,2023,Jan,97.2
Zambia,2023,Feb,88.5
Zambia,2023,Mar,102.4
Zimbabwe,2020,Jan,185.4
Zimbabwe,2020,Feb,175.3
Zimbabwe,2020,Mar,125.8
Zimbabwe,2020,Apr,7.4
Zimbabwe,2020,May,13.3
Zimbabwe,2020,Jun,13.2
Zimbabwe,2020,Jul,13.6
Zimbabwe,2020,Aug,12.9
Zimbabwe,2020,Sep,14.1
Zimbabwe,2020,Oct,22.9
Zimbabwe,2020,Nov,24.8
Zimbabwe,2020,Dec,30.6
Zimbabwe,2021,Jan,12.9
Zimbabwe,2021,Feb,25.6
Zimbabwe,2021,Mar,27.4
Zimbabwe,2021,Apr,37.5
Zimbabwe,2021,May,35.3
Zimbabwe,2021,Jun,25.3
Zimbabwe,2021,Jul,29.5
Zimbabwe,2021,Aug,31.5
Zimbabwe,2021,Sep,36.4
Zimbabwe,2021,Oct,38.1
Zimbabwe,2021,Nov,40.5
Zimbabwe,2021,Dec,40.8
Zimbabwe,2022,Jan,38.9
Zimbabwe,2022,Feb,37.9
Zimbabwe,2022,Mar,53.8
Zimbabwe,2022,Apr,83.3
Zimbabwe,2022,May,72.1
Zimbabwe,2022,Jun,80.1
Zimbabwe,2022,Jul,107.3
Zimbabwe,2022,Aug,120.8
Zimbabwe,2022,Sep,120.5
Zimbabwe,2022,Oct,114.4
Zimbabwe,2022,Nov,91.6
Zimbabwe,2022,Dec,123.2
Zimbabwe,2023,Jan,86.0
Zimbabwe,2023,Feb,85.2
Zimbabwe,2023,Mar,100.8
Zimbabwe,2023,Apr,111.1
Zimbabwe,2023,May,100.7
Zimbabwe,2023,Jun,108.7
Zimbabwe,2023,Jul,123.1
Zimbabwe,2023,Aug,214.3
Zimbabwe,2023,Sep,157.5
Zimbabwe,2023,Oct,148.0
Zimbabwe,2023,Nov,178.8
Zimbabwe,2023,Dec,188.5
Zimbabwe,2024,Jan,141.2
Zimbabwe,2024,Feb,97.6
Zimbabwe,2024,Mar,131.4
Zimbabwe,2024,Apr,125.9
Zimbabwe,2024,May,141.6
Zimbabwe,2024,Jun,113.9
Zimbabwe,2024,Jul,160.6
Zimbabwe,2024,Aug,157.1
Zimbabwe,2024,Sep,133.3
Zimbabwe,2024,Oct,143.7
Zimbabwe,2024,Nov,110.3
Zimbabwe,2024,Dec,157.4
