UN_tourism_country,M49
Antigua & Barbuda,28
Bolivia,68
Bosnia & Herzg.,70
Brit. Virgin Islands,92
Brunei,96
Centr. African Rep.,140
Dominican Rep.,214
Hong Kong (China),344
Iran,364
Korea (ROK),410
Laos,418
Macao (China),446
Micronesia FSM,583
N.Mariana Islands,580
Netherlands,528
Palestine,275
Reunion,638
St. Kitts & Nevis,659
St. Vincent & Gren.,670
Syria,760
Taiwan (pr. of China),158
Tanzania,834
Trinidad & Tobago,780
Turks & Caicos,796
US Virgin Islands,850
United Kingdom,826
United States,840
Utd Arab Emirates,784
Venezuela,862
Vietnam,704
China,156
