Year,Domestic supply quantity,Export quantity,Import quantity,Production,Stock Variation
2009,1329.0,2.0,1092.0,139.0,-100.0
2010,1324.0,3.0,1227.0,105.0,6.0
2011,1274.0,2.0,1148.0,129.0,1.0
2012,1273.0,3.0,1141.0,123.0,-12.0
2013,1267.0,4.0,1118.0,154.0,0.0
2014,1425.0,3.0,1264.0,139.0,-24.0
2015,1340.0,3.0,1318.0,104.0,78.0
2016,1458.0,4.0,1329.0,75.0,-58.0
2017,1423.0,3.0,1288.0,86.0,-53.0
2018,1281.0,3.0,1242.0,89.0,47.0
2019,1366.0,3.0,1266.0,105.0,2.0
2020,1378.0,4.0,1330.0,81.0,30.0
2021,1400.0,4.0,1269.0,111.0,-24.0
2022,1377.0,3.0,1305.0,130.0,55.0
2023,1369.0,2.0,1204.0,141.0,-26.0
