year,prev_year,D_comp,D_comp_sq,D_scale,D_scale_sq,n_links
1987,1986,5817099.984974384,33838652235188.98,5089396.458676038,25901956313584.203,1084
1988,1987,4318854.423562619,18652503531926.4,5264185.45837061,27711648540120.586,1123
1989,1988,8111796.894394496,65801248855908.2,5554256.551936522,30849765844729.79,1131
1990,1989,2183729.934769622,4768676428008.9375,9841123.691282313,96847715507118.03,1192
1991,1990,3252338.720444187,10577707152500.533,3054757.5442716666,9331543654284.664,1247
1992,1991,1774449.8448688667,3148672251955.1455,3652842.0002835724,13343254679035.691,1376
1993,1992,2185462.3998418613,4776245901122.547,3420953.2343863496,11702921031858.428,1437
1994,1993,3132573.4333063615,9813016315056.807,3560418.871295592,12676582539077.777,1572
1995,1994,6258931.108718511,39174218623684.32,5966561.0756328255,35599851069256.74,1773
1996,1995,4112229.1444881214,16910428536777.508,3733868.752527766,13941775861103.256,1884
1997,1996,3537851.218725853,12516391245840.006,6184731.834536614,38250907865130.625,2037
1998,1997,2794014.0084325015,7806514279317.055,4603154.261711314,21189029157111.04,2328
1999,1998,3012705.27492213,9076393073543.627,3291508.2160123917,10834026336077.076,2481
2000,1999,3472022.5127567123,12054940329089.434,4750833.980270196,22570423508089.953,2702
2001,2000,2816656.3275933233,7933552867771.506,3714297.0362698636,13796002473643.092,2881
2002,2001,2605810.6334706172,6790249057508.539,3652893.261910057,13343629182907.898,3153
2003,2002,2336443.6253029075,5458968814218.594,4343860.354640815,18869122780620.227,3272
2004,2003,4978786.670819102,24788316713525.957,5222135.560896149,27270699816376.137,3246
2005,2004,3933626.85294255,15473420218190.71,4109922.3064398686,16891461364972.008,3242
2006,2005,3535597.777525179,12500451644440.984,4463631.734917371,19924008264961.453,3250
2007,2006,3338874.4448934323,11148082558762.426,5046580.697474227,25467976736119.46,3293
2008,2007,3986564.9790272755,15892700332006.742,5469718.220774078,29917817414667.945,3419
2009,2008,2649123.8847018066,7017857356497.592,6645233.076588178,44159122642181.58,3527
2010,2009,3001304.6305572214,9007829485404.219,5711624.008132504,32622648810275.613,3515
2011,2010,2390348.815153745,5713767458106.912,5822835.254572749,33905410401895.29,3523
2012,2011,4861958.996755724,23638645286133.92,5876424.742844241,34532367758311.996,3652
2013,2012,5518468.930293765,30453499334617.613,7565724.861899922,57240192685970.59,3900
2014,2013,7753239.773786928,60112726989831.57,8107635.530398632,65733753893782.32,4098
2015,2014,2824974.388280207,7980480294439.129,6352122.314294104,40349457895753.09,4100
2016,2015,3987083.762526984,15896836929406.33,5165337.756501291,26680714138737.79,4284
2017,2016,4328756.904265112,18738136336222.875,9061180.72842963,82104996193264.52,4404
2018,2017,4406460.705594258,19416895949946.25,12789487.924547482,163571001372145.88,4373
2019,2018,5678550.505288393,32245935841111.07,8564357.310749294,73348216146184.89,4387
2020,2019,5430633.8979553245,29491784533621.438,7231765.032255286,52298425481750.3,4512
2021,2020,13035468.48859965,169923438717274.44,8883955.529982924,78924665858714.19,4677
2022,2021,5593810.42724461,31290715095950.523,6136733.562383427,37659498815683.19,4841
2023,2022,13109371.372030707,171855617769818.28,11958539.283859828,143006661803618.75,4819
2024,2023,8903131.80573076,79265755950214.66,8737286.605563207,76340177227754.22,4618
