importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
USSR,United States of America,0.0,1558000.0,3968000.0,0.0,4158000.0,71000.0,4892000.0,0.0,1986,1987,4262908.396857713,6420721.844154285,0.7766854716619787,5341815.120506,4148910.196401292,1078906.723648286,17213455817802.607,1164039718333.479,0.5086921221969429,0.04494022398312061,1,comp
Algeria,United States of America,1943873.0,0.0,379308.0,0.0,0.0,0.0,760921.0,0.0,1986,1987,1980534.4730635213,760921.0,1.3780877840802044,1370727.7365317605,1888983.1490143281,609806.7365317607,3568257337260.0874,371864255919.5162,0.10544915655799787,0.014356608876082965,2,comp
Republic of Korea,United States of America,1865742.0,958961.0,1324937.0,0.0,1837083.0,1083812.0,4072361.0,0.0,1986,1987,2481140.3555732192,4597134.598263793,0.5263147093517914,3539137.476918506,1862700.1125203958,1057997.1213452867,3469651709183.495,1119357908774.9133,0.10253516260246877,0.04321518788864104,3,comp
Japan,United States of America,3241278.0,4331620.0,9244259.0,0.0,3102960.0,4099585.0,12815742.0,0.0,1986,1987,10710982.184504136,13808627.771954352,0.14798338893694704,12259804.978229243,1814247.4883844177,1548822.7937251078,3291493949109.168,2398852046362.4478,0.09727024369151226,0.092612774777339,4,comp
Egypt,United States of America,1293909.0,43999.0,981492.0,0.0,0.0,54884.0,1341530.0,0.0,1986,1987,1624642.4093769065,1342652.2239046118,0.9213693614885456,1483647.3166407591,1366987.1808074904,140995.09273614734,1868653952492.0103,19879616175.67479,0.05522246984023754,0.0007674947766493214,5,comp
Brazil,Argentina,730979.0,0.0,862049.0,0.0,1163771.0,0.0,126919.0,0.0,1986,1987,1130247.2193471657,1170671.3343214653,0.7588614408270804,1150459.2768343156,873039.1844313698,20212.05748714984,762197417552.5913,408527267.8638499,0.02252446144294064,1.577206226888735e-05,6,comp
Mexico,United States of America,2372.0,786962.0,1393393.0,0.0,162434.0,1039221.0,3577993.0,724.0,1986,1987,1600268.3738289024,3729396.670162883,0.23517050918581886,2664832.5219958927,626690.0210927039,1064564.1481669904,392740382537.1737,1133296825562.5098,0.011606265515763096,0.04375332935636818,7,comp
Brazil,United States of America,619094.0,263567.0,1558685.0,417011.0,94399.0,356962.0,718103.0,0.0,1986,1987,1748182.4983882545,807468.2403995837,0.448778842185911,1277825.3693939191,573460.9897923871,470357.1289943354,328857506813.6643,221235828795.79388,0.009718398490814708,0.008541278740392571,8,comp
Belgium-Luxembourg,United States of America,77168.0,954804.0,92863.0,22.0,0.0,937291.0,678081.0,10.0,1986,1987,962407.9778830805,1156852.739695939,0.5348142070640067,1059630.3587895096,566705.3701169605,97222.38090642926,321154976519.4012,9452191349.11482,0.009490773281609324,0.00036492190916705575,9,comp
Colombia,United States of America,556262.0,42716.0,1.0,0.0,0.0,177585.0,1643.0,0.0,1986,1987,557899.6946593536,177592.60027940353,1.4941588551068528,367746.14746937854,549471.1626728025,190153.54718997504,301918558609.00134,36158371508.93006,0.008922298574735631,0.0013959706777038655,10,comp
"China, mainland",United States of America,1563508.0,272109.0,1228217.0,0.0,5768226.0,118974.0,107070.0,0.0,1987,1988,2006767.9419987753,5770446.25524335,0.6551284316499744,3888607.0986210625,2547537.069822574,1881839.1566222874,6489945122120.187,3541318611396.882,0.3479396270324639,0.12779169764187084,1,comp
Egypt,United States of America,0.0,54884.0,1341530.0,0.0,1543622.0,34430.0,726487.0,0.0,1987,1988,1342652.2239046118,1706381.4535305405,1.1304905855339848,1524516.838717576,1723451.9336582522,181864.61481296434,2970286567630.3687,33074738121.06789,0.1592433188684995,0.0011935319572627622,2,comp
Spain,United States of America,0.0,1820280.0,561948.0,44714.0,15490.0,1327598.0,2035980.0,35080.0,1987,1988,1905571.87607815,2430884.9327979307,0.693486614490586,2168228.40443804,1503637.3756360617,262656.52835989033,2260925357409.7026,68988451890.06987,0.1212129703414777,0.002489510928597021,3,comp
Algeria,United States of America,0.0,0.0,760921.0,0.0,1595836.0,0.0,875797.0,0.0,1987,1988,760921.0,1820360.6577008304,1.0688738268370424,1290640.828850415,1379532.2018054754,529719.8288504152,1903109095818.263,280603097077.3132,0.10202968692973693,0.010125817548207551,4,comp
USSR,United States of America,4158000.0,71000.0,4892000.0,0.0,8901000.0,827000.0,8604000.0,0.0,1987,1988,6420721.844154285,12407277.944819324,0.11252764478785263,9413999.894486804,1059335.2361596932,2993278.050332519,1122191142569.513,8959713486602.447,0.0601630306971246,0.3233193966656543,5,comp
Japan,United States of America,3102960.0,4099585.0,12815742.0,0.0,3294312.0,3657108.0,14829803.0,0.0,1987,1988,13808627.771954352,15625299.596993877,0.06770053391955697,14716963.684474114,996346.2991136279,908335.9125197623,992705947757.4229,825074129973.1093,0.053221056683263254,0.029773549154918626,6,comp
Belgium-Luxembourg,United States of America,0.0,937291.0,678081.0,10.0,96416.0,796475.0,11452.0,1.0,1987,1988,1156852.739695939,802371.2476067422,0.6221631166530451,979611.9936513406,609478.4510808211,177240.7460445984,371463982331.87683,31414282058.445824,0.019914966465282458,0.0011336128925337882,7,comp
USSR,Argentina,539000.0,631000.0,1454000.0,0.0,593000.0,0.0,1099000.0,0.0,1987,1988,1674155.9067183677,1248779.4040582187,0.4097682794170858,1461467.6553882933,598863.0865721835,212688.2513300745,358636996458.7626,45236292253.84494,0.01922728473659874,0.0016323926809461511,8,comp
"China, Taiwan Province of",United States of America,789285.0,1933640.0,3085430.0,0.0,843050.0,2012585.0,4388793.0,0.0,1987,1988,3725830.477319788,4901299.3870578855,0.13374140346055707,4313564.932188837,576902.2279491777,587734.4548690487,332816180612.72504,345431789440.21783,0.017842976415635738,0.012465219777167205,9,comp
Brazil,United States of America,94399.0,356962.0,718103.0,0.0,0.0,157499.0,4.0,0.0,1987,1988,807468.2403995837,157499.00005079398,1.112859805827857,482483.62022518885,536936.6279189251,324984.62017439486,288300942400.9462,105615003349.89569,0.015456420737703033,0.0038112132952677854,10,comp
USSR,United States of America,8901000.0,827000.0,8604000.0,0.0,5385000.0,365000.0,17414000.0,0.0,1988,1989,12407277.944819324,18231260.1319821,0.5040941094714415,15319269.038400711,7722353.283666032,2911991.093581388,59634740237747.555,8479692129097.327,0.9062858422084953,0.2748705507774852,1,comp
