importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
"China, mainland",Canada,0.0,0.0,0.0,0.0,5698874.0,0.0,5.0,0.0,1986,1987,0.0,5698874.000002193,0.0,2849437.0000010966,0.0,2849437.0000010966,0.0,8119291216975.25,0.0,0.3134624705052534,1,scale
"China, mainland",Australia,0.0,0.0,0.0,0.0,4431620.0,0.0,0.0,0.0,1986,1987,0.0,4431620.0,0.0,2215810.0,0.0,2215810.0,0.0,4909813956100.0,0.0,0.18955378878177873,2,scale
Japan,United States of America,3241278.0,4331620.0,9244259.0,0.0,3102960.0,4099585.0,12815742.0,0.0,1986,1987,10710982.184504136,13808627.771954352,0.14798338893694704,12259804.978229243,1814247.4883844177,1548822.7937251078,3291493949109.168,2398852046362.4478,0.09727024369151226,0.092612774777339,3,scale
USSR,Australia,3348000.0,0.0,0.0,0.0,781000.0,0.0,0.0,0.0,1986,1987,3348000.0,781000.0,0.0,2064500.0,0.0,1283500.0,0.0,1647372250000.0,0.0,0.06360030223416138,4,scale
USSR,United States of America,0.0,1558000.0,3968000.0,0.0,4158000.0,71000.0,4892000.0,0.0,1986,1987,4262908.396857713,6420721.844154285,0.7766854716619787,5341815.120506,4148910.196401292,1078906.723648286,17213455817802.607,1164039718333.479,0.5086921221969429,0.04494022398312061,5,scale
Mexico,United States of America,2372.0,786962.0,1393393.0,0.0,162434.0,1039221.0,3577993.0,724.0,1986,1987,1600268.3738289024,3729396.670162883,0.23517050918581886,2664832.5219958927,626690.0210927039,1064564.1481669904,392740382537.1737,1133296825562.5098,0.011606265515763096,0.04375332935636818,6,scale
Republic of Korea,United States of America,1865742.0,958961.0,1324937.0,0.0,1837083.0,1083812.0,4072361.0,0.0,1986,1987,2481140.3555732192,4597134.598263793,0.5263147093517914,3539137.476918506,1862700.1125203958,1057997.1213452867,3469651709183.495,1119357908774.9133,0.10253516260246877,0.04321518788864104,7,scale
"China, mainland",United States of America,0.0,0.0,0.0,0.0,1563508.0,272109.0,1228217.0,0.0,1986,1987,0.0,2006767.9419987753,0.0,1003383.9709993877,0.0,1003383.9709993877,0.0,1006779393258.5,0.0,0.038868855350917934,8,scale
Algeria,United States of America,1943873.0,0.0,379308.0,0.0,0.0,0.0,760921.0,0.0,1986,1987,1980534.4730635213,760921.0,1.3780877840802044,1370727.7365317605,1888983.1490143281,609806.7365317607,3568257337260.0874,371864255919.5162,0.10544915655799787,0.014356608876082965,9,scale
Cuba,USSR,1085808.0,0.0,260982.0,0.0,0.0,0.0,0.0,0.0,1986,1987,1116732.1152308641,0.0,0.0,558366.0576154321,0.0,558366.0576154321,0.0,311772654297.0,0.0,0.01203664505192188,10,scale
USSR,United States of America,4158000.0,71000.0,4892000.0,0.0,8901000.0,827000.0,8604000.0,0.0,1987,1988,6420721.844154285,12407277.944819324,0.11252764478785263,9413999.894486804,1059335.2361596932,2993278.050332519,1122191142569.513,8959713486602.447,0.0601630306971246,0.3233193966656543,1,scale
"China, mainland",Australia,4431620.0,0.0,0.0,0.0,397187.0,0.0,0.0,0.0,1987,1988,4431620.0,397187.0,0.0,2414403.5,0.0,2017216.5,0.0,4069162407872.25,0.0,0.1468394203246684,2,scale
"China, mainland",United States of America,1563508.0,272109.0,1228217.0,0.0,5768226.0,118974.0,107070.0,0.0,1987,1988,2006767.9419987753,5770446.25524335,0.6551284316499744,3888607.0986210625,2547537.069822574,1881839.1566222874,6489945122120.187,3541318611396.882,0.3479396270324639,0.12779169764187084,3,scale
Mexico,United States of America,162434.0,1039221.0,3577993.0,724.0,0.0,0.0,0.0,0.0,1987,1988,3729396.670162883,0.0,0.0,1864698.3350814416,0.0,1864698.3350814416,0.0,3477099880855.5,0.0,0.12547430643909174,4,scale
"China, mainland",Canada,5698874.0,0.0,5.0,0.0,7532080.0,0.0,0.0,0.0,1987,1988,5698874.000002193,7532080.0,8.773987948904038e-07,6615477.000001097,5.804411547426146,916602.9999989034,33.69119341189399,840161059606.9896,1.8062558387525165e-12,0.03031797470982698,5,scale
Japan,United States of America,3102960.0,4099585.0,12815742.0,0.0,3294312.0,3657108.0,14829803.0,0.0,1987,1988,13808627.771954352,15625299.596993877,0.06770053391955697,14716963.684474114,996346.2991136279,908335.9125197623,992705947757.4229,825074129973.1093,0.053221056683263254,0.029773549154918626,6,scale
India,United States of America,21465.0,0.0,0.0,0.0,1748145.0,0.0,54738.0,252.0,1987,1988,21465.0,1749001.7876414536,0.03130215218407741,885233.3938207268,27709.710411803724,863768.3938207268,767828051.1060237,746095838163.6382,4.116487900896399e-05,0.02692354578196421,7,scale
Japan,South Africa,0.0,0.0,1682736.0,0.0,0.0,0.0,239689.0,0.0,1987,1988,1682736.0,239689.0,0.0,961212.5,0.0,721523.5,0.0,520596161052.25,0.0,0.01878618517763522,8,scale
