year,month,value
2015,Feb,1051.0
2015,Mar,1238.0
2015,Apr,1385.0
2015,May,1334.0
2015,Jun,750.9
2015,Jul,629.7
2015,Aug,1069.0
2015,Sep,1207.0
2015,Oct,1384.0
2015,Nov,1150.0
2015,Dec,1116.0
2016,Jan,1077.0
2016,Feb,1126.0
2016,Mar,1389.0
2016,Apr,1470.0
2016,May,1493.0
2016,Jun,1554.0
2016,Jul,1703.0
2016,Aug,1664.0
2016,Sep,1524.0
2016,Oct,1588.0
2016,Nov,1309.0
2016,Dec,1343.0
2017,Jan,1221.0
2017,Feb,1252.0
2017,Mar,1234.0
2017,Apr,1076.0
2017,May,977.9
2017,Jun,991.8
2017,Jul,1009.0
2017,Aug,1104.0
2017,Sep,1079.0
2017,Oct,1166.0
2017,Nov,1093.0
2017,Dec,1134.0
2018,Jan,956.0
2018,Feb,1045.0
2018,Mar,1366.0
2018,Apr,1332.0
2018,May,1238.0
2018,Jun,1282.0
2018,Jul,1255.0
2018,Aug,1392.0
2018,Sep,1279.0
2018,Oct,1528.0
2018,Nov,1350.0
2018,Dec,1324.0
2019,Jan,1105.0
2019,Feb,1202.0
2019,Mar,1536.0
2019,Apr,1635.0
2019,May,1486.0
2019,Jun,1476.0
2019,Jul,1448.0
2019,Aug,1586.0
2019,Sep,1460.0
2019,Oct,1656.0
2019,Nov,1456.0
2019,Dec,1457.0
2020,Jan,1273.0
2020,Feb,685.2
2020,Mar,83.5
2020,Apr,29.4
2020,May,30.8
2020,Jun,36.9
2020,Jul,61.0
2020,Aug,68.8
2020,Sep,65.0
2020,Oct,61.6
2020,Nov,61.8
2020,Dec,62.3
2021,Jan,58.4
2021,Feb,65.6
2021,Mar,74.6
2021,Apr,70.1
2021,May,74.5
2021,Jun,77.0
2021,Jul,83.0
2021,Aug,97.1
2021,Sep,89.8
2021,Oct,92.4
2021,Nov,94.4
2021,Dec,90.2
2022,Jan,81.9
2022,Feb,100.0
2022,Mar,96.8
2022,Apr,127.9
2022,May,175.9
2022,Jun,227.7
2022,Jul,264.0
2022,Aug,310.9
2022,Sep,337.6
2022,Oct,476.1
2022,Nov,459.9
2022,Dec,539.3
2023,Jan,434.4
2023,Feb,479.2
2023,Mar,800.6
2023,Apr,888.8
2023,May,867.1
2023,Jun,960.6
2023,Jul,1032.0
2023,Aug,1089.0
2023,Sep,1098.0
2023,Oct,1230.0
2023,Nov,1115.0
2023,Dec,1037.0
2024,Jan,880.9
2024,Feb,1030.0
2024,Mar,1492.0
2024,Apr,1463.0
2024,May,1418.0
2024,Jun,1417.0
2024,Jul,1408.0
2024,Aug,1563.0
2024,Sep,1464.0
2024,Oct,1600.0
2024,Nov,1361.0
2024,Dec,1271.0
2025,Jan,1117.0
2025,Feb,1138.0
2025,Mar,1615.0
2025,Apr,1707.0
2025,May,1629.0
2025,Jun,1619.0
2025,Jul,1733.0
2025,Aug,1820.0
2025,Sep,1703.0
