"Domain Code","Domain","Element Code","Element","Unit"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","5312","Area harvested","ha"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","7245","Burning crop residues (Biomass burned, dry matter)","t"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72257","Burning crop residues (Emissions CH4)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72307","Burning crop residues (Emissions N2O)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72342","Crop residues (Direct emissions N2O)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72302","Crop residues (Emissions N2O)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72362","Crop residues (Indirect emissions N2O)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72392","Crop residues (N content)","kg"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72440","Crops total (Emissions CH4)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72430","Crops total (Emissions N2O)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","723632","Indirect emissions (N2O that leaches) (Synthetic fertilizers)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","723631","Indirect emissions (N2O that volatilises) (Synthetic fertilizers)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","516202","Nitrogen fertilizer content applied that leaches","kg"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","516201","Nitrogen fertilizer content applied that volatilises","kg"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72255","Rice cultivation (Emissions CH4)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","5162","Synthetic fertilizers (Agricultural use)","kg"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72343","Synthetic fertilizers (Direct emissions N2O)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72303","Synthetic fertilizers (Emissions N2O)","kt"
"GCE","Climate Change: Agrifood systems emissions: Emissions from Crops","72363","Synthetic fertilizers (Indirect emissions N2O)","kt"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","5026","Area","ha"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","7273","Emissions (CO2)","kt"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","7230","Emissions (N2O)","kt"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","7216","Net stock change (C)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","7225","Emissions (CH4)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","7273","Emissions (CO2)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","7230","Emissions (N2O)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","72184","Energy use in agriculture","TJ"
"GI","Climate Change: Agrifood systems emissions: Emissions from Fires","7246","Burned Area","ha"
